cik,cik_full,ticker,accn,form,fy,10k_path
1385280,0001385280,CNK,0001564590-21-009190,10-K,2020,https://www.sec.gov/Archives/edgar/data/1385280/000156459021009190/0001564590-21-009190.txt
1840572,0001840572,BOWL,0001564590-21-009190,10-K,2020,https://www.sec.gov/Archives/edgar/data/1840572/000156459021009190/0001564590-21-009190.txt
944809,0000944809,OPK,0000944809-21-000015,10-K,2020,https://www.sec.gov/Archives/edgar/data/944809/000094480921000015/0000944809-21-000015.txt
721994,0000721994,LKFN,0001104659-21-026486,10-K,2020,https://www.sec.gov/Archives/edgar/data/721994/000110465921026486/0001104659-21-026486.txt
1674930,0001674930,FLGT,0001564590-21-011526,10-K,2020,https://www.sec.gov/Archives/edgar/data/1674930/000156459021011526/0001564590-21-011526.txt
1369241,0001369241,DAC,0001564590-21-011526,10-K,2020,https://www.sec.gov/Archives/edgar/data/1369241/000156459021011526/0001564590-21-011526.txt
1044896,0001044896,IBA,0001564590-21-011526,10-K,2020,https://www.sec.gov/Archives/edgar/data/1044896/000156459021011526/0001564590-21-011526.txt
1405495,0001405495,IDCC,0001405495-22-000010,10-K,2021,https://www.sec.gov/Archives/edgar/data/1405495/000140549522000010/0001405495-22-000010.txt
1130713,0001130713,OSTK,0001130713-21-000019,10-K,2020,https://www.sec.gov/Archives/edgar/data/1130713/000113071321000019/0001130713-21-000019.txt
1128361,0001128361,HOPE,0001128361-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/1128361/000112836121000007/0001128361-21-000007.txt
1724521,0001724521,RCUS,0001564590-21-008270,10-K,2020,https://www.sec.gov/Archives/edgar/data/1724521/000156459021008270/0001564590-21-008270.txt
1318568,0001318568,EVRI,0001318568-21-000035,10-K,2020,https://www.sec.gov/Archives/edgar/data/1318568/000131856821000035/0001318568-21-000035.txt
1806837,0001806837,VERX,0001558370-21-003017,10-K,2020,https://www.sec.gov/Archives/edgar/data/1806837/000155837021003017/0001558370-21-003017.txt
1611547,0001611547,UE,0001611547-22-000012,10-K,2021,https://www.sec.gov/Archives/edgar/data/1611547/000161154722000012/0001611547-22-000012.txt
1880319,0001880319,PRM,0001611547-22-000012,10-K,2021,https://www.sec.gov/Archives/edgar/data/1880319/000161154722000012/0001611547-22-000012.txt
36146,0000036146,TRMK,0000950170-22-001425,10-K,2021,https://www.sec.gov/Archives/edgar/data/36146/000095017022001425/0000950170-22-001425.txt
1833197,0001833197,SWIM,0000950170-22-001425,10-K,2021,https://www.sec.gov/Archives/edgar/data/1833197/000095017022001425/0000950170-22-001425.txt
1298946,0001298946,DRH,0001298946-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/1298946/000129894621000013/0001298946-21-000013.txt
1645070,0001645070,STER,0001298946-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/1645070/000129894621000013/0001298946-21-000013.txt
715072,0000715072,RNST,0000715072-21-000057,10-K,2020,https://www.sec.gov/Archives/edgar/data/715072/000071507221000057/0000715072-21-000057.txt
1604481,0001604481,EURN,0000715072-21-000057,10-K,2020,https://www.sec.gov/Archives/edgar/data/1604481/000071507221000057/0000715072-21-000057.txt
1398987,0001398987,RLGY,0001398987-21-000038,10-K,2020,https://www.sec.gov/Archives/edgar/data/1398987/000139898721000038/0001398987-21-000038.txt
944148,0000944148,CBZ,0001628280-21-003443,10-K,2020,https://www.sec.gov/Archives/edgar/data/944148/000162828021003443/0001628280-21-003443.txt
886163,0000886163,LGND,0000886163-21-000050,10-K,2020,https://www.sec.gov/Archives/edgar/data/886163/000088616321000050/0000886163-21-000050.txt
1650132,0001650132,FCPT,0001650132-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/1650132/000165013221000026/0001650132-21-000026.txt
1610601,0001610601,MOMO,0001650132-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/1610601/000165013221000026/0001650132-21-000026.txt
1499620,0001499620,TAL,0001650132-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/1499620/000165013221000026/0001650132-21-000026.txt
906709,0000906709,NKTR,0000906709-21-000005,10-K,2020,https://www.sec.gov/Archives/edgar/data/906709/000090670921000005/0000906709-21-000005.txt
1185348,0001185348,PRAA,0001185348-21-000006,10-K,2020,https://www.sec.gov/Archives/edgar/data/1185348/000118534821000006/0001185348-21-000006.txt
1278027,0001278027,BGS,0001558370-21-002267,10-K,2020,https://www.sec.gov/Archives/edgar/data/1278027/000155837021002267/0001558370-21-002267.txt
1423774,0001423774,ZUO,0001423774-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1423774/000142377421000020/0001423774-21-000020.txt
1587523,0001587523,KN,0001587523-22-000005,10-K,2021,https://www.sec.gov/Archives/edgar/data/1587523/000158752322000005/0001587523-22-000005.txt
1818093,0001818093,SKIN,0001213900-21-016237,10-K,2020,https://www.sec.gov/Archives/edgar/data/1818093/000121390021016237/0001213900-21-016237.txt
1350593,0001350593,MWA,0001350593-21-000061,10-K,2021,https://www.sec.gov/Archives/edgar/data/1350593/000135059321000061/0001350593-21-000061.txt
1043509,0001043509,SAH,0001043509-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/1043509/000104350921000004/0001043509-21-000004.txt
104894,0000104894,WRE,0000104894-22-000036,10-K,2021,https://www.sec.gov/Archives/edgar/data/104894/000010489422000036/0000104894-22-000036.txt
1620393,0001620393,NXRT,0001564590-22-005606,10-K,2021,https://www.sec.gov/Archives/edgar/data/1620393/000156459022005606/0001564590-22-005606.txt
1546417,0001546417,BLMN,0001546417-21-000023,10-K,2020,https://www.sec.gov/Archives/edgar/data/1546417/000154641721000023/0001546417-21-000023.txt
1792849,0001792849,HPK,0001437749-21-006064,10-K,2020,https://www.sec.gov/Archives/edgar/data/1792849/000143774921006064/0001437749-21-006064.txt
1488813,0001488813,CUBI,0001488813-21-000069,10-K,2020,https://www.sec.gov/Archives/edgar/data/1488813/000148881321000069/0001488813-21-000069.txt
876167,0000876167,PRGS,0000876167-22-000038,10-K,2021,https://www.sec.gov/Archives/edgar/data/876167/000087616722000038/0000876167-22-000038.txt
1437352,0001437352,EVBG,0001564590-21-009422,10-K,2020,https://www.sec.gov/Archives/edgar/data/1437352/000156459021009422/0001564590-21-009422.txt
1005757,0001005757,CSGS,0000950170-22-001463,10-K,2021,https://www.sec.gov/Archives/edgar/data/1005757/000095017022001463/0000950170-22-001463.txt
1368458,0001368458,SBH,0001564590-21-057810,10-K,2021,https://www.sec.gov/Archives/edgar/data/1368458/000156459021057810/0001564590-21-057810.txt
1629137,0001629137,GBT,0001193125-21-054629,10-K,2020,https://www.sec.gov/Archives/edgar/data/1629137/000119312521054629/0001193125-21-054629.txt
1283140,0001283140,HEP,0001283140-21-000012,10-K,2020,https://www.sec.gov/Archives/edgar/data/1283140/000128314021000012/0001283140-21-000012.txt
1743759,0001743759,CRSR,0001564590-21-012507,10-K,2020,https://www.sec.gov/Archives/edgar/data/1743759/000156459021012507/0001564590-21-012507.txt
1359711,0001359711,MFGP,0001564590-21-012507,10-K,2020,https://www.sec.gov/Archives/edgar/data/1359711/000156459021012507/0001564590-21-012507.txt
1605607,0001605607,PGRE,0001564590-21-005289,10-K,2020,https://www.sec.gov/Archives/edgar/data/1605607/000156459021005289/0001564590-21-005289.txt
1326732,0001326732,XNCR,0001558370-21-001522,10-K,2020,https://www.sec.gov/Archives/edgar/data/1326732/000155837021001522/0001558370-21-001522.txt
1069530,0001069530,SAVA,0001069530-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1069530/000106953021000020/0001069530-21-000020.txt
1121142,0001121142,MAXR,0001558370-21-001635,10-K,2020,https://www.sec.gov/Archives/edgar/data/1121142/000155837021001635/0001558370-21-001635.txt
1375365,0001375365,SMCI,0001375365-21-000060,10-K,2021,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060.txt
1778016,0001778016,IMAB,0001375365-21-000060,10-K,2021,https://www.sec.gov/Archives/edgar/data/1778016/000137536521000060/0001375365-21-000060.txt
1525769,0001525769,PLAY,0001193125-21-102470,10-K,2020,https://www.sec.gov/Archives/edgar/data/1525769/000119312521102470/0001193125-21-102470.txt
1096752,0001096752,EPC,0001096752-21-000032,10-K,2021,https://www.sec.gov/Archives/edgar/data/1096752/000109675221000032/0001096752-21-000032.txt
1756607,0001756607,EQX,0001096752-21-000032,10-K,2021,https://www.sec.gov/Archives/edgar/data/1756607/000109675221000032/0001096752-21-000032.txt
1831915,0001831915,CTKB,0001096752-21-000032,10-K,2021,https://www.sec.gov/Archives/edgar/data/1831915/000109675221000032/0001096752-21-000032.txt
1708301,0001708301,BPMP,0001708301-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/1708301/000170830121000008/0001708301-21-000008.txt
1521036,0001521036,LNTH,0001628280-21-003336,10-K,2020,https://www.sec.gov/Archives/edgar/data/1521036/000162828021003336/0001628280-21-003336.txt
1501570,0001501570,VBTX,0001501570-21-000133,10-K,2020,https://www.sec.gov/Archives/edgar/data/1501570/000150157021000133/0001501570-21-000133.txt
1747079,0001747079,BALY,0001747079-21-000071,10-K,2020,https://www.sec.gov/Archives/edgar/data/1747079/000174707921000071/0001747079-21-000071.txt
1772695,0001772695,NOVA,0001772695-21-000022,10-K,2020,https://www.sec.gov/Archives/edgar/data/1772695/000177269521000022/0001772695-21-000022.txt
807882,0000807882,JACK,0000807882-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/0000807882-21-000016.txt
1760689,0001760689,MVST,0001213900-21-017601,10-K,2020,https://www.sec.gov/Archives/edgar/data/1760689/000121390021017601/0001213900-21-017601.txt
883237,0000883237,VRTS,0000883237-21-000075,10-K,2020,https://www.sec.gov/Archives/edgar/data/883237/000088323721000075/0000883237-21-000075.txt
766829,0000766829,SJW,0000766829-21-000047,10-K,2020,https://www.sec.gov/Archives/edgar/data/766829/000076682921000047/0000766829-21-000047.txt
1839191,0001839191,ASZ,0000766829-21-000047,10-K,2020,https://www.sec.gov/Archives/edgar/data/1839191/000076682921000047/0000766829-21-000047.txt
1342338,0001342338,HIMX,0000766829-21-000047,10-K,2020,https://www.sec.gov/Archives/edgar/data/1342338/000076682921000047/0000766829-21-000047.txt
1490978,0001490978,SDGR,0001564590-21-010727,10-K,2020,https://www.sec.gov/Archives/edgar/data/1490978/000156459021010727/0001564590-21-010727.txt
