ticker,beta,trailingPE,priceToSalesTrailing12Months,priceToBook,trailingPegRatio,debtToEquity,returnOnEquity
BKR,1.623376,173.38887,1.3236983,1.8957663,,39.704,0.01663
DHI,1.633046,7.581946,1.1094187,2.0689244,,35.824,0.30662
TSCO,0.934361,27.446619,1.9190422,12.104433,,195.704,0.50789
ZBH,1.221282,31.203371,3.2559063,2.0075285,,55.807,0.03234
BBY,1.587532,10.648747,0.50628453,6.276856,,93.151,0.63223
KEY,1.473766,9.411765,2.9746578,1.4402385,,,0.14532
MAA,0.678441,56.391197,13.921872,4.1034403,,75.063,0.073070005
CDW,1.095286,24.501125,1.16913,28.372662,,545.472,0.97480005
IT,1.545974,34.77508,5.0547194,69.19663,,1004.595,1.02595
VRSN,0.848311,40.318893,18.581356,,,,
STX,1.056103,15.402502,2.0293577,39.096004,,856.572,1.33526
VFC,1.480519,18.009615,2.016115,6.1329403,,190.105,0.30791
FOXA,1.128761,14.59094,1.7963846,2.1543376,,72.204,0.15686
FTV,1.202597,13.717278,4.333286,2.419951,,32.072,0.19945
GRMN,0.976623,19.12769,4.359979,3.6807702,,1.222,0.20615
FE,0.345101,21.083498,2.210306,3.0877855,,278.548,0.15573
MTB,1.077922,12.953534,3.871347,1.473467,,,0.11133
DOV,1.381652,24.20558,2.9377801,5.8111663,,78.631,0.26424998
MLM,0.697142,32.251503,4.892451,3.6887991,,87.174,0.12033
PKI,1.063896,17.858925,4.4666386,3.246341,,76.001,0.22247
CFG,1.590129,10.078313,3.10194,0.99916387,,,0.09784
ZBRA,1.532691,25.968504,3.9806488,7.731251,,40.483,0.35601002
URI,1.913246,19.876617,2.580724,4.3391123,,199.125,0.24927
STE,0.664843,88.74909,5.746736,3.7309484,,52.827,0.05286
K,0.586493,17.64722,1.5522596,6.338001,,204.091,0.33416998
RJF,1.190649,15.675716,2.1834726,2.5933874,,46.369,0.18128
AEE,0.346593,22.752151,3.8065343,2.3219938,,133.014,0.106800005
IR,1.473163,50.34448,3.439048,2.3400047,,40.113,0.05585
HPE,1.236695,6.492248,0.77976966,1.0861107,,72.828,0.18979
RCL,2.653506,,31.345734,2.830523,,333.187,-0.71241
PPL,0.781298,,2.5027075,1.356383,,76.99,0.06164
MGM,2.393246,34.76343,2.606078,2.9814305,,209.416,0.05406
DRE,0.696668,22.229063,18.436117,3.464713,,61.408,0.15151
PAYC,1.474285,109.81356,19.612358,22.763685,,12.27,0.23549
ESS,0.746578,48.06259,14.333438,3.6120682,,99.922,0.07594
JBHT,1.067012,31.942858,1.8523139,7.2318254,,51.127,0.24867001
PENN,2.503896,20.4663,1.5269195,2.4811141,,377.626,0.13621001
VNO,1.282597,,5.0339828,1.6277937,,120.206,-0.00437
IPGP,1.343376,23.413431,4.2408357,2.2183304,,1.486,0.100659996
PNW,0.275484,14.515168,2.2046144,1.3616325,,123.61,0.09701
HII,0.980109,12.658988,0.8875337,3.8652475,,126.211,0.23105
UAA,1.270512,17.407408,1.2665607,3.960039,,72.011,0.19127001
ALK,1.546494,494.42303,1.0433115,1.8247631,,107.735,0.14082
WTW,0.75982,,,,,41.111,0.17789
SBUX,0.886623,,,,,,
COO,0.861298,7.0510483,7.0522,2.9624946,,25.157,0.547
TTWO,0.613506,32.712986,5.409607,4.9800105,,6.9,0.17693001
TYL,,109.926796,10.8204775,7.823862,,59.731,0.07492
BRO,0.730866,33.240604,6.5137186,4.683031,,55.023,0.14923
DRI,1.446528,19.033596,2.0114982,6.7642126,,230.055,0.36946
BIO,0.873766,2.7610261,6.1098423,1.1878409,,1.469,0.55127
BXP,1.164594,59.9364,6.683503,3.3474507,,166.13,0.07719
ETSY,1.678269,47.454704,8.697327,37.880512,,379.899,0.71989995
POOL,0.847272,31.820646,3.6905763,19.098085,,60.183,0.76482004
CMS,0.246325,21.637388,2.5959394,3.2238626,,190.29,0.12907
OMC,0.83948,12.961059,1.2463908,5.39414,,155.585,0.40363997
AKAM,0.540527,30.538315,5.310213,3.941091,,62.094,0.13912
KMX,1.491948,14.394545,0.5521449,3.3101022,,363.574,0.26009
IP,0.961558,9.299714,0.7456738,1.6993964,,92.31,0.21531999
AMCR,0.425567,18.698519,1.319894,3.732325,,149.692,0.20193
HOLX,1.113246,9.833565,3.1649146,4.263123,,74.721,0.53992003
CZR,2.937662,,2.117131,3.6415753,,544.74,-0.26588
NVR,0.978701,15.983308,1.8895652,5.739171,,53.357,0.40672
PEAK,0.715564,28.131004,9.15708,2.6030385,,89.203,0.01901
NLOK,1.081038,19.893047,6.438464,,,,
CTLT,1.338701,32.03651,4.1712985,4.3292217,,98.584,0.14791
CAG,0.790651,13.954051,1.4797436,1.9406916,,110.081,0.12808
CNP,0.93088,17.952957,2.126338,2.1992056,,171.429,0.07521
BR,0.881558,31.42857,3.2994199,9.700948,,254.65,0.34655997
UDR,0.725714,312.66666,13.609598,5.684849,,132.426,0.01508
GPC,1.078441,22.077019,0.9627282,5.543469,,100.555,0.26139998
